q_z(A^-1);Intensity
1.664141;5575.868000
1.662041;5565.789000
1.659939;5565.184000
1.657837;5563.711000
1.655733;5535.513000
1.653629;5538.000000
1.651524;5510.197000
1.649417;5509.408000
1.647310;5516.579000
1.645202;5509.737000
1.643093;5498.829000
1.640983;5499.882000
1.638872;5470.579000
1.636760;5486.711000
1.634647;5492.526000
1.632533;5473.132000
1.630418;5483.526000
1.628302;5477.724000
1.626185;5473.566000
1.624068;5467.500000
1.621949;5461.974000
1.619829;5462.487000
1.617709;5455.645000
1.615587;5448.711000
1.613465;5467.579000
1.611341;5469.237000
1.609217;5467.026000
1.607092;5433.579000
1.604966;5457.816000
1.602839;5456.855000
1.600711;5471.145000
1.598582;5455.934000
1.596452;5460.368000
1.594321;5465.658000
1.592189;5454.776000
1.590056;5456.539000
1.587922;5456.039000
1.585788;5459.618000
1.583652;5461.500000
1.581516;5459.079000
1.579378;5460.816000
1.577240;5451.961000
1.575101;5451.092000
1.572961;5464.013000
1.570819;5440.947000
1.568677;5458.000000
1.566534;5459.711000
1.564390;5466.184000
1.562246;5457.579000
1.560100;5450.895000
1.557953;5506.434000
1.555806;5422.355000
1.553657;5418.184000
1.551508;5413.487000
1.549357;5519.039000
1.547206;5459.895000
1.545054;5469.789000
1.542900;5461.211000
1.540746;5451.566000
1.538591;5451.737000
1.536436;5453.882000
1.534279;5450.974000
1.532121;5445.645000
1.529962;5443.039000
1.527803;5442.053000
1.525642;5442.263000
1.523481;5443.355000
1.521319;5427.947000
1.519155;5396.513000
1.516991;5423.289000
1.514826;5417.382000
1.512660;5411.776000
1.510494;5398.316000
1.508326;5387.224000
1.506157;5392.882000
1.503988;5395.132000
1.501817;5371.329000
1.499646;5364.908000
1.497473;5359.500000
1.495300;5348.105000
1.493126;5327.342000
1.490951;5319.566000
1.488775;5321.921000
1.486599;5322.566000
1.484421;5299.276000
1.482242;5310.421000
1.480063;5266.711000
1.477883;5284.250000
1.475701;5266.447000
1.473519;5262.092000
1.471336;5228.434000
1.469152;5221.237000
1.466967;5228.987000
1.464782;5208.487000
1.462595;5194.118000
1.460408;5186.842000
1.458219;5167.368000
1.456030;5166.618000
1.453840;5152.526000
1.451649;5164.934000
1.449457;5144.026000
1.447264;5129.789000
1.445070;5120.395000
1.442876;5108.592000
1.440680;5104.066000
1.438484;5091.132000
1.436287;5092.289000
1.434089;5057.158000
1.431890;5058.684000
1.429690;5046.342000
1.427489;5050.763000
1.425288;5048.605000
1.423085;5026.276000
1.420882;5027.882000
1.418678;4997.618000
1.416473;5008.329000
1.414267;4998.776000
1.412060;4995.171000
1.409852;4970.487000
1.407644;4945.184000
1.405434;4964.079000
1.403224;4928.105000
1.401013;4905.434000
1.398801;4897.908000
1.396588;4871.092000
1.394374;4867.158000
1.392160;4823.303000
1.389944;4817.237000
1.387728;4788.895000
1.385511;4779.816000
1.383293;4749.658000
1.381074;4724.658000
1.378854;4696.184000
1.376633;4674.882000
1.374412;4633.316000
1.372190;4607.658000
1.369966;4576.000000
1.367742;4540.803000
1.365518;4513.487000
1.363292;4480.526000
1.361065;4447.395000
1.358838;4418.618000
1.356610;4379.961000
1.354381;4357.237000
1.352151;4330.105000
1.349920;4296.171000
1.347688;4284.579000
1.345456;4257.987000
1.343223;4234.289000
1.340988;3974.211000
1.338753;nan
1.336518;nan
