Pixel;q_z(A^-1);Intensity
1.000000;2.213058;1952.171000
2.000000;2.211242;1973.000000
3.000000;2.209425;1966.855000
4.000000;2.207608;1969.882000
5.000000;2.205789;1971.882000
6.000000;2.203969;1991.276000
7.000000;2.202148;1981.026000
8.000000;2.200326;1990.263000
9.000000;2.198503;1991.408000
10.000000;2.196679;1997.224000
11.000000;2.194853;2001.579000
12.000000;2.193027;1993.763000
13.000000;2.191200;2016.829000
14.000000;2.189371;2017.789000
15.000000;2.187542;2013.250000
16.000000;2.185712;2020.447000
17.000000;2.183880;2018.355000
18.000000;2.182048;2027.158000
19.000000;2.180214;2026.763000
20.000000;2.178380;2033.289000
21.000000;2.176544;2039.211000
22.000000;2.174707;2040.105000
23.000000;2.172869;2054.816000
24.000000;2.171031;2043.908000
25.000000;2.169191;2048.355000
26.000000;2.167350;2069.329000
27.000000;2.165508;2065.974000
28.000000;2.163665;2076.079000
29.000000;2.161821;2086.763000
30.000000;2.159976;2080.329000
31.000000;2.158130;2079.921000
32.000000;2.156282;2088.526000
33.000000;2.154434;2092.697000
34.000000;2.152585;2099.737000
35.000000;2.150735;2095.829000
36.000000;2.148883;2112.895000
37.000000;2.147031;2108.842000
38.000000;2.145177;2119.197000
39.000000;2.143323;2118.171000
40.000000;2.141467;2119.526000
41.000000;2.139611;2129.684000
42.000000;2.137753;2131.092000
43.000000;2.135894;2138.803000
44.000000;2.134035;2150.671000
45.000000;2.132174;2149.316000
46.000000;2.130312;2162.882000
47.000000;2.128449;2170.224000
48.000000;2.126585;2166.855000
49.000000;2.124720;2173.671000
50.000000;2.122854;2174.947000
51.000000;2.120987;2185.434000
52.000000;2.119119;2176.368000
53.000000;2.117250;2181.868000
54.000000;2.115380;2195.658000
55.000000;2.113509;2200.724000
56.000000;2.111636;2211.132000
57.000000;2.109763;2222.974000
58.000000;2.107889;2212.237000
59.000000;2.106013;2227.566000
60.000000;2.104137;2229.184000
61.000000;2.102259;2239.263000
62.000000;2.100381;2262.842000
63.000000;2.098501;2253.118000
64.000000;2.096621;2256.934000
65.000000;2.094739;2269.921000
66.000000;2.092856;2282.750000
67.000000;2.090972;2278.724000
68.000000;2.089088;2291.658000
69.000000;2.087202;2293.882000
70.000000;2.085315;2289.618000
71.000000;2.083427;2305.368000
72.000000;2.081538;2310.618000
73.000000;2.079648;2312.132000
74.000000;2.077757;2327.289000
75.000000;2.075865;2334.974000
76.000000;2.073972;2340.868000
77.000000;2.072078;2348.303000
78.000000;2.070183;2359.079000
79.000000;2.068286;2375.461000
80.000000;2.066389;2390.803000
81.000000;2.064491;2381.737000
82.000000;2.062591;2395.566000
83.000000;2.060691;2401.553000
84.000000;2.058790;2427.118000
85.000000;2.056887;2412.342000
86.000000;2.054984;2435.605000
87.000000;2.053079;2430.724000
88.000000;2.051173;2451.658000
89.000000;2.049267;2454.263000
90.000000;2.047359;2453.921000
91.000000;2.045450;2472.368000
92.000000;2.043541;2483.816000
93.000000;2.041630;2503.342000
94.000000;2.039718;2499.605000
95.000000;2.037805;2525.526000
96.000000;2.035891;2537.842000
97.000000;2.033977;2528.842000
98.000000;2.032061;2531.434000
99.000000;2.030144;2535.105000
100.000000;2.028226;2589.276000
101.000000;2.026307;2604.421000
102.000000;2.024386;2582.250000
103.000000;2.022465;2592.053000
104.000000;2.020543;2613.789000
105.000000;2.018620;2621.500000
106.000000;2.016696;2634.237000
107.000000;2.014770;2632.763000
108.000000;2.012844;2646.697000
109.000000;2.010917;2666.855000
110.000000;2.008988;2669.368000
111.000000;2.007059;2691.789000
112.000000;2.005129;2699.526000
113.000000;2.003197;2720.895000
114.000000;2.001265;2736.013000
115.000000;1.999331;2734.539000
116.000000;1.997397;2767.947000
117.000000;1.995461;2773.947000
118.000000;1.993524;2780.684000
119.000000;1.991587;2796.329000
120.000000;1.989648;2813.579000
121.000000;1.987708;2831.987000
122.000000;1.985768;2848.276000
123.000000;1.983826;2846.645000
124.000000;1.981883;2865.618000
125.000000;1.979939;2881.987000
126.000000;1.977994;2893.500000
127.000000;1.976048;2915.605000
128.000000;1.974102;2917.789000
129.000000;1.972154;2946.724000
130.000000;1.970205;2952.671000
131.000000;1.968255;2968.487000
132.000000;1.966304;2994.684000
133.000000;1.964352;3003.842000
134.000000;1.962399;3022.592000
135.000000;1.960444;3041.079000
136.000000;1.958489;3043.342000
137.000000;1.956533;3074.421000
138.000000;1.954576;3091.724000
139.000000;1.952618;3108.145000
140.000000;1.950659;3121.395000
