Pixel;q_z(A^-1);Intensity
174.000000;1.837112;5322.434000
175.000000;1.835094;5384.158000
176.000000;1.833075;5466.987000
177.000000;1.831055;5554.579000
178.000000;1.829033;5626.645000
179.000000;1.827011;5723.632000
180.000000;1.824988;5826.421000
181.000000;1.822964;5938.763000
182.000000;1.820939;6054.224000
183.000000;1.818913;6159.908000
184.000000;1.816886;6281.105000
185.000000;1.814857;6410.474000
186.000000;1.812828;6575.645000
187.000000;1.810798;6706.868000
188.000000;1.808767;6842.987000
189.000000;1.806735;7002.211000
190.000000;1.804702;7125.382000
191.000000;1.802668;7269.026000
192.000000;1.800633;7398.789000
193.000000;1.798596;7515.803000
194.000000;1.796559;7670.724000
195.000000;1.794521;7590.434000
196.000000;1.792482;nan
197.000000;1.790442;nan
198.000000;1.788401;nan
199.000000;1.786359;nan
200.000000;1.784316;nan
201.000000;1.782272;nan
202.000000;1.780227;nan
203.000000;1.778181;nan
204.000000;1.776134;nan
205.000000;1.774086;nan
206.000000;1.772037;nan
207.000000;1.769987;nan
208.000000;1.767936;nan
209.000000;1.765884;nan
210.000000;1.763831;nan
211.000000;1.761777;nan
212.000000;1.759722;nan
213.000000;1.757666;7597.158000
214.000000;1.755609;7750.605000
215.000000;1.753552;7643.605000
216.000000;1.751493;7563.789000
217.000000;1.749433;7499.947000
218.000000;1.747372;7397.276000
219.000000;1.745310;7297.434000
220.000000;1.743248;7218.526000
221.000000;1.741184;7111.763000
222.000000;1.739119;7008.382000
223.000000;1.737053;6934.368000
224.000000;1.734987;6807.671000
225.000000;1.732919;6692.000000
226.000000;1.730850;6581.079000
227.000000;1.728781;6517.329000
228.000000;1.726710;6420.526000
229.000000;1.724639;6344.263000
230.000000;1.722566;6243.684000
231.000000;1.720493;6196.263000
232.000000;1.718418;6133.855000
233.000000;1.716343;6085.053000
234.000000;1.714266;6038.184000
235.000000;1.712189;5995.171000
236.000000;1.710110;5950.816000
237.000000;1.708031;5905.974000
238.000000;1.705951;5885.421000
239.000000;1.703869;5841.250000
240.000000;1.701787;5824.605000
241.000000;1.699704;5801.882000
242.000000;1.697620;5776.461000
243.000000;1.695535;5758.684000
244.000000;1.693448;5746.868000
245.000000;1.691361;5735.789000
246.000000;1.689273;5714.184000
247.000000;1.687184;5695.697000
248.000000;1.685094;5683.829000
249.000000;1.683003;5681.776000
250.000000;1.680911;5668.487000
251.000000;1.678819;5662.224000
252.000000;1.676725;5648.632000
253.000000;1.674630;5631.592000
254.000000;1.672534;5630.539000
255.000000;1.670437;5612.026000
256.000000;1.668340;5589.447000
257.000000;1.666241;5595.026000
