Sum vertically x	Sum vertically y
-1.998045e+00	2.215302e+03
-1.995385e+00	2.207517e+03
-1.992726e+00	2.209196e+03
-1.990067e+00	2.245188e+03
-1.987408e+00	2.259250e+03
-1.984748e+00	2.232813e+03
-1.982089e+00	2.248656e+03
-1.979430e+00	2.311042e+03
-1.976771e+00	2.269850e+03
-1.974111e+00	2.314635e+03
-1.971452e+00	2.310260e+03
-1.968793e+00	2.351552e+03
-1.966134e+00	2.351635e+03
-1.963475e+00	2.390813e+03
-1.960815e+00	2.368333e+03
-1.958156e+00	2.393437e+03
-1.955497e+00	2.413281e+03
-1.952838e+00	2.414844e+03
-1.950178e+00	2.431406e+03
-1.947519e+00	2.432354e+03
-1.944860e+00	2.503902e+03
-1.942201e+00	2.444890e+03
-1.939541e+00	2.495760e+03
-1.936882e+00	2.507740e+03
-1.934223e+00	2.525073e+03
-1.931564e+00	2.546500e+03
-1.928904e+00	2.586365e+03
-1.926245e+00	2.605785e+03
-1.923586e+00	2.572923e+03
-1.920927e+00	2.631458e+03
-1.918267e+00	2.644302e+03
-1.915608e+00	2.663354e+03
-1.912949e+00	2.660708e+03
-1.910290e+00	2.733385e+03
-1.907630e+00	2.695027e+03
-1.904971e+00	2.728515e+03
-1.902312e+00	2.743344e+03
-1.899653e+00	2.777115e+03
-1.896993e+00	2.786271e+03
-1.894334e+00	2.792427e+03
-1.891675e+00	2.870810e+03
-1.889016e+00	2.809950e+03
-1.886357e+00	2.842354e+03
-1.883697e+00	2.871729e+03
-1.881038e+00	2.915542e+03
-1.878379e+00	2.924635e+03
-1.875720e+00	2.952521e+03
-1.873060e+00	3.011765e+03
-1.870401e+00	2.964725e+03
-1.867742e+00	2.991508e+03
-1.865083e+00	3.039031e+03
-1.862423e+00	3.075979e+03
-1.859764e+00	3.092688e+03
-1.857105e+00	3.108177e+03
-1.854446e+00	3.175896e+03
-1.851786e+00	3.143660e+03
-1.849127e+00	3.195027e+03
-1.846468e+00	3.223771e+03
-1.843809e+00	3.220583e+03
-1.841149e+00	3.238708e+03
-1.838490e+00	3.259719e+03
-1.835831e+00	3.313125e+03
-1.833172e+00	3.387708e+03
-1.830512e+00	3.305777e+03
-1.827853e+00	3.380062e+03
-1.825194e+00	3.404781e+03
-1.822535e+00	3.425208e+03
-1.819875e+00	3.472656e+03
-1.817216e+00	3.482687e+03
-1.814557e+00	3.483667e+03
-1.811898e+00	3.435592e+03
-1.809239e+00	3.454094e+03
-1.806579e+00	3.473990e+03
-1.803920e+00	3.536479e+03
-1.801261e+00	3.529729e+03
-1.798602e+00	3.563375e+03
-1.795942e+00	3.579792e+03
-1.793283e+00	3.613923e+03
-1.790624e+00	3.648431e+03
-1.787965e+00	3.704542e+03
-1.785305e+00	3.691094e+03
-1.782646e+00	3.727865e+03
-1.779987e+00	3.771250e+03
-1.777328e+00	3.805969e+03
-1.774668e+00	3.820325e+03
-1.772009e+00	3.871562e+03
-1.769350e+00	3.897396e+03
-1.766691e+00	3.912375e+03
-1.764031e+00	3.945083e+03
-1.761372e+00	3.977521e+03
-1.758713e+00	3.995365e+03
-1.756054e+00	4.062708e+03
-1.753394e+00	4.081898e+03
-1.750735e+00	4.109477e+03
-1.748076e+00	4.171175e+03
-1.745417e+00	4.166594e+03
-1.742757e+00	4.225604e+03
-1.740098e+00	4.249344e+03
-1.737439e+00	4.258135e+03
-1.734780e+00	4.302125e+03
-1.732121e+00	4.348927e+03
-1.729461e+00	4.368215e+03
-1.726802e+00	4.414156e+03
-1.724143e+00	4.432406e+03
-1.721484e+00	4.461250e+03
-1.718824e+00	4.490542e+03
-1.716165e+00	4.519010e+03
-1.713506e+00	4.506635e+03
-1.710847e+00	4.581006e+03
-1.708187e+00	4.609125e+03
-1.705528e+00	4.645471e+03
-1.702869e+00	4.708250e+03
-1.700210e+00	4.672875e+03
-1.697550e+00	4.684844e+03
