Pixel;q_z(A^-1);Intensity
174.000000;1.883438;5322.434000
175.000000;1.881443;5384.158000
176.000000;1.879447;5466.987000
177.000000;1.877450;5554.579000
178.000000;1.875452;5626.645000
179.000000;1.873453;5723.632000
180.000000;1.871453;5826.421000
181.000000;1.869452;5938.763000
182.000000;1.867450;6054.224000
183.000000;1.865447;6159.908000
184.000000;1.863443;6281.105000
185.000000;1.861438;6410.474000
186.000000;1.859433;6575.645000
187.000000;1.857426;6706.868000
188.000000;1.855418;6842.987000
189.000000;1.853409;7002.211000
190.000000;1.851399;7125.382000
191.000000;1.849388;7269.026000
192.000000;1.847376;7398.789000
193.000000;1.845362;7515.803000
194.000000;1.843348;7670.724000
195.000000;1.841333;7590.434000
196.000000;1.839317;nan
197.000000;1.837300;nan
198.000000;1.835282;nan
199.000000;1.833263;nan
200.000000;1.831243;nan
201.000000;1.829222;nan
202.000000;1.827200;nan
203.000000;1.825177;nan
204.000000;1.823153;nan
205.000000;1.821128;nan
206.000000;1.819102;nan
207.000000;1.817075;nan
208.000000;1.815047;nan
209.000000;1.813018;nan
210.000000;1.810988;nan
211.000000;1.808957;nan
212.000000;1.806925;nan
213.000000;1.804892;7597.158000
214.000000;1.802858;7750.605000
215.000000;1.800823;7643.605000
216.000000;1.798787;7563.789000
217.000000;1.796750;7499.947000
218.000000;1.794712;7397.276000
219.000000;1.792673;7297.434000
220.000000;1.790633;7218.526000
221.000000;1.788592;7111.763000
222.000000;1.786550;7008.382000
223.000000;1.784507;6934.368000
224.000000;1.782463;6807.671000
225.000000;1.780418;6692.000000
226.000000;1.778372;6581.079000
227.000000;1.776325;6517.329000
228.000000;1.774277;6420.526000
229.000000;1.772228;6344.263000
230.000000;1.770178;6243.684000
231.000000;1.768128;6196.263000
232.000000;1.766076;6133.855000
233.000000;1.764023;6085.053000
234.000000;1.761969;6038.184000
235.000000;1.759914;5995.171000
236.000000;1.757858;5950.816000
237.000000;1.755802;5905.974000
238.000000;1.753744;5885.421000
239.000000;1.751685;5841.250000
240.000000;1.749625;5824.605000
