q_xy(A^-1);Intensity
1.284996;4363.476000
1.282682;4317.143000
1.280367;4314.762000
1.278052;4246.524000
1.275736;4246.762000
1.273419;4233.667000
1.271102;4180.429000
1.268785;4144.190000
1.266466;4099.143000
1.264147;4107.762000
1.261828;4096.476000
1.259507;4071.810000
1.257187;4050.524000
1.254865;4025.476000
1.252543;4003.048000
1.250221;3970.762000
1.247897;3952.429000
1.245573;3960.286000
1.243249;3957.429000
1.240924;3898.286000
1.238598;3885.857000
1.236272;3877.143000
1.233945;3894.524000
1.231618;3858.429000
1.229289;3847.286000
1.226961;3816.238000
1.224631;3855.905000
1.222302;3846.905000
1.219971;3833.476000
1.217640;3859.429000
1.215308;3847.238000
1.212976;3806.000000
1.210643;3814.619000
1.208310;3813.381000
1.205976;3781.524000
1.203641;3797.952000
1.201306;3769.000000
1.198970;3731.667000
1.196634;3708.857000
1.194297;3719.333000
1.191959;3697.810000
1.189621;3672.571000
1.187282;3678.429000
1.184943;3635.571000
1.182603;3619.762000
1.180262;3595.286000
1.177921;3575.619000
1.175579;3558.857000
1.173237;3537.238000
1.170894;3517.238000
1.168551;3505.429000
1.166207;3473.619000
1.163862;3477.619000
1.161517;3440.381000
1.159172;3426.762000
1.156825;3392.476000
1.154478;3396.238000
1.152131;3399.476000
1.149783;3393.571000
1.147434;3382.381000
1.145085;3373.286000
1.142736;3380.238000
1.140385;3371.476000
1.138034;3374.095000
1.135683;3362.333000
1.133331;3357.476000
1.130979;3375.905000
1.128625;3364.476000
1.126272;3359.857000
1.123918;3323.429000
1.121563;3327.762000
1.119208;3315.476000
1.116852;3303.905000
1.114495;3310.286000
1.112138;3288.095000
1.109781;3277.571000
1.107423;3243.619000
1.105064;3241.619000
1.102705;3266.190000
1.100345;3295.905000
1.097985;3220.476000
1.095624;3214.143000
1.093262;3207.619000
1.090900;3257.952000
1.088538;3215.333000
1.086175;3232.667000
1.083811;3248.619000
1.081447;3228.429000
1.079082;3245.095000
1.076717;3262.143000
1.074352;3264.714000
1.071985;3294.238000
1.069618;3287.095000
1.067251;3323.762000
1.064883;3313.000000
1.062515;3332.905000
1.060146;3327.048000
1.057776;3336.810000
1.055406;3336.952000
1.053036;3366.619000
1.050665;3336.238000
1.048293;3308.810000
1.045921;3313.429000
1.043548;3294.429000
1.041175;3284.048000
1.038801;3255.810000
1.036427;3255.429000
1.034052;3229.619000
1.031677;3198.286000
1.029301;3179.762000
1.026925;3113.095000
1.024548;3107.762000
1.022171;3049.810000
1.019793;3009.333000
1.017414;3003.429000
1.015035;2979.524000
1.012656;2938.286000
1.010276;2931.524000
1.007896;2906.238000
1.005515;2875.476000
1.003133;2838.714000
1.000751;2846.143000
0.998369;2811.619000
0.995986;2790.143000
0.993602;2800.714000
0.991218;2776.381000
0.988834;2779.762000
0.986449;2745.095000
0.984063;2762.190000
0.981677;2735.048000
0.979291;2740.857000
0.976904;2733.571000
0.974516;2744.714000
0.972128;2727.190000
0.969740;2761.857000
0.967351;2743.952000
0.964961;2754.762000
0.962571;2767.238000
0.960181;2807.143000
0.957790;2835.810000
0.955399;2899.381000
0.953007;2834.429000
0.950614;nan
0.948221;nan
0.945828;nan
0.943434;nan
0.941040;nan
0.938645;nan
0.936250;nan
0.933854;3037.333000
0.931458;3193.952000
0.929061;3152.048000
0.926664;3142.048000
0.924266;3128.619000
0.921868;3104.952000
0.919469;3090.095000
0.917070;3043.667000
0.914671;2999.857000
0.912271;2967.524000
0.909870;2909.333000
0.907469;2867.048000
0.905068;2787.095000
0.902666;2750.190000
0.900263;2712.286000
0.897861;2667.286000
0.895457;2653.333000
0.893054;2647.857000
0.890649;2640.095000
0.888245;2642.333000
0.885840;2628.476000
0.883434;2631.381000
0.881028;2612.000000
0.878622;2606.619000
0.876215;2614.333000
0.873807;2591.000000
0.871399;2580.048000
0.868991;2570.762000
0.866582;2565.381000
0.864173;2548.000000
0.861764;2542.429000
0.859354;2532.143000
0.856943;2511.000000
0.854532;2537.381000
0.852121;2491.238000
0.849709;2490.905000
0.847297;2476.667000
0.844884;2489.952000
0.842471;2471.667000
0.840057;2443.286000
0.837643;2428.619000
0.835229;2426.619000
0.832814;2408.048000
0.830398;2422.286000
0.827983;2422.381000
0.825567;2391.048000
0.823150;2382.048000
0.820733;2367.095000
0.818315;2374.857000
0.815898;2326.667000
0.813479;2342.476000
0.811061;2328.238000
0.808641;2309.810000
0.806222;2307.000000
0.803802;2295.238000
0.801381;2291.190000
0.798961;2302.619000
0.796539;2273.667000
0.794118;2286.524000
0.791696;2269.714000
0.789273;2270.000000
0.786850;2268.476000
0.784427;2274.048000
0.782003;2295.952000
0.779579;2271.333000
0.777155;2289.952000
0.774730;2312.190000
0.772304;2326.714000
0.769879;2338.714000
0.767453;2403.714000
0.765026;2500.190000
0.762599;2538.333000
0.760172;2633.667000
0.757744;2753.810000
0.755316;2794.905000
0.752887;2848.524000
0.750459;2899.333000
0.748029;2925.524000
0.745600;2940.286000
0.743169;2894.000000
0.740739;2874.143000
0.738308;2839.190000
0.735877;2811.714000
0.733445;2778.333000
0.731013;2724.476000
0.728581;2659.905000
0.726148;2572.667000
0.723715;2518.619000
0.721281;2448.095000
0.718848;2400.143000
0.716413;2395.714000
0.713979;2367.667000
0.711544;2365.857000
0.709108;2357.571000
0.706672;2333.381000
0.704236;2325.190000
0.701800;2341.095000
0.699363;2304.810000
0.696926;2320.762000
0.694488;2279.619000
0.692050;2294.762000
0.689612;2242.190000
0.687173;2242.952000
0.684734;2232.190000
0.682294;2211.762000
0.679855;2189.143000
0.677414;2184.143000
0.674974;2176.333000
0.672533;2198.048000
0.670092;2146.095000
0.667650;2200.190000
0.665208;2175.857000
0.662766;2189.095000
0.660323;2185.524000
0.657880;2176.619000
0.655437;2181.476000
0.652993;2176.429000
0.650549;2185.000000
0.648105;2178.333000
0.645660;2178.048000
0.643215;2170.000000
0.640770;2166.381000
0.638324;2158.810000
0.635878;2176.952000
0.633432;2154.429000
0.630985;2167.857000
0.628538;2158.857000
0.626091;2173.048000
0.623643;2193.571000
0.621195;2208.476000
0.618746;2250.762000
0.616298;2235.714000
0.613849;2279.381000
0.611399;2307.524000
0.608950;2307.143000
0.606500;2325.857000
0.604049;2299.238000
0.601599;2290.143000
0.599148;2249.048000
0.596696;2248.476000
0.594245;2201.143000
0.591793;2187.429000
0.589341;2148.333000
0.586888;2119.095000
0.584435;2098.143000
0.581982;2079.524000
0.579529;2029.476000
0.577075;2015.571000
0.574621;2016.476000
0.572166;2030.857000
0.569712;2006.143000
0.567257;2011.619000
0.564801;1997.190000
0.562346;1990.048000
0.559890;1979.476000
0.557434;1978.429000
0.554977;1964.810000
0.552521;1978.190000
0.550063;1977.619000
0.547606;1970.905000
0.545148;1981.714000
0.542690;1972.143000
0.540232;1981.667000
0.537774;1984.143000
0.535315;1963.524000
0.532856;1977.381000
0.530396;1971.095000
0.527937;1985.762000
0.525477;1991.619000
0.523017;1964.952000
0.520556;1979.095000
0.518095;1978.333000
0.515634;1986.667000
0.513173;1985.952000
0.510711;1990.429000
0.508249;2003.000000
0.505787;2023.619000
0.503325;2028.286000
0.500862;2046.048000
0.498399;2060.810000
0.495936;2098.143000
0.493472;2097.571000
0.491009;2114.619000
0.488545;2129.571000
0.486080;2174.333000
0.483616;2164.143000
0.481151;2164.619000
0.478686;2162.238000
0.476221;2138.476000
0.473755;2105.286000
0.471289;2113.429000
0.468823;2089.238000
0.466357;2089.476000
0.463890;2078.095000
0.461424;2063.381000
0.458956;2082.571000
0.456489;2080.857000
0.454022;2101.143000
0.451554;2110.143000
0.449086;2123.571000
0.446617;2140.571000
0.444149;2179.857000
0.441680;2183.714000
0.439211;2226.619000
0.436742;2237.095000
0.434272;2239.143000
0.431803;2255.667000
0.429333;2240.286000
0.426863;2278.286000
0.424392;2292.238000
0.421922;2312.905000
0.419451;2346.857000
0.416980;2373.714000
0.414508;2415.429000
0.412037;2463.667000
0.409565;2517.810000
0.407093;2611.619000
0.404621;2694.238000
0.402149;2834.714000
0.399676;3032.143000
0.397203;3258.571000
0.394730;3604.429000
0.392257;4097.952000
0.389784;4836.810000
0.387310;5966.333000
0.384836;7719.095000
0.382362;10054.000000
0.379888;12990.520000
0.377413;16051.000000
0.374938;18695.140000
0.372463;20310.140000
0.369988;20749.380000
0.367513;19935.240000
0.365038;18175.480000
0.362562;15672.140000
0.360086;13012.900000
0.357610;10412.290000
0.355134;8314.143000
0.352657;6737.571000
0.350181;5679.810000
0.347704;4979.190000
0.345227;4497.952000
0.342749;4084.810000
0.340272;3972.143000
0.337794;3858.095000
0.335317;3772.286000
0.332839;3703.381000
0.330361;3703.524000
0.327882;3742.476000
0.325404;3789.048000
0.322925;3858.476000
0.320446;3960.429000
0.317967;4123.095000
0.315488;4327.524000
0.313009;4531.190000
0.310529;4748.905000
0.308050;5068.429000
0.305570;5370.143000
0.303090;5762.048000
0.300610;6116.000000
0.298129;6495.952000
0.295649;6857.810000
0.293168;7120.667000
0.290687;7327.381000
0.288206;7423.238000
0.285725;7370.667000
0.283244;7198.381000
0.280762;6956.190000
0.278281;6591.095000
0.275799;6196.571000
0.273317;5774.714000
0.270835;5335.857000
0.268353;4939.476000
0.265871;4563.952000
0.263388;4185.429000
0.260905;3911.429000
0.258423;3654.095000
0.255940;3445.952000
0.253457;3241.429000
0.250974;3132.810000
0.248490;2976.143000
0.246007;2890.048000
0.243523;2773.476000
0.241040;2705.524000
0.238556;2639.048000
0.236072;2604.476000
0.233588;2533.048000
0.231103;2497.762000
0.228619;2466.381000
0.226135;2436.714000
0.223650;2376.143000
0.221165;2376.238000
0.218680;2373.952000
0.216195;2320.524000
0.213710;2309.524000
0.211225;2279.571000
0.208740;2272.619000
0.206254;2264.000000
0.203769;2247.095000
0.201283;2255.667000
0.198798;2224.619000
0.196312;2225.476000
0.193826;2229.238000
0.191340;2207.333000
0.188854;2202.286000
0.186367;2197.381000
0.183881;2221.000000
0.181394;2190.905000
0.178908;2197.857000
0.176421;2218.048000
0.173934;2195.952000
0.171448;2195.000000
0.168961;2188.952000
0.166474;2200.048000
0.163986;2197.190000
0.161499;2192.714000
0.159012;2215.143000
0.156525;2200.810000
0.154037;2220.095000
0.151549;2237.905000
0.149062;2243.905000
0.146574;2226.333000
0.144086;2248.238000
0.141598;2247.667000
0.139110;2240.619000
0.136622;2257.381000
0.134134;2269.810000
0.131646;2256.762000
0.129158;2276.571000
0.126670;2293.619000
0.124181;2367.238000
0.121693;2544.048000
0.119204;2741.143000
0.116716;2880.905000
0.114227;3025.238000
0.111738;3091.952000
0.109249;3175.714000
0.106761;3323.762000
0.104272;3419.619000
0.101783;3547.048000
0.099294;3706.286000
0.096805;3848.190000
0.094316;4021.286000
0.091826;4233.524000
0.089337;4406.571000
0.086848;4602.095000
0.084359;4788.524000
0.081869;5016.476000
0.079380;5206.143000
0.076890;5413.143000
0.074401;5664.238000
0.071911;5930.095000
0.069422;6220.333000
0.066932;6498.619000
0.064443;6808.810000
0.061953;7194.286000
0.059463;7656.810000
0.056973;8092.333000
0.054484;8752.619000
0.051994;9254.857000
0.049504;9840.571000
0.047014;10676.900000
0.044524;11560.430000
0.042034;12660.950000
0.039544;13851.480000
0.037055;14780.620000
0.034565;15708.620000
0.032075;18105.620000
0.029585;20446.140000
0.027095;23503.760000
0.024604;27750.670000
0.022114;33176.430000
0.019624;23474.760000
0.017134;4153.095000
0.014644;61.619050
0.012154;57.952380
0.009664;57.000000
0.007174;57.095240
0.004684;55.619050
0.002194;55.380950
-0.000296;59.476190
-0.002787;54.666670
-0.005277;59.047620
-0.007767;56.619050
-0.010257;57.142860
-0.012747;57.619050
-0.015237;56.571430
-0.017727;59.809520
-0.020217;56.380950
-0.022707;59.428570
-0.025197;888.809500
-0.027687;23412.710000
-0.030177;47640.380000
-0.032667;36998.900000
-0.035157;29204.140000
-0.037647;24088.100000
-0.040137;20555.430000
-0.042627;17766.100000
-0.045117;15577.050000
-0.047607;13858.620000
-0.050097;12618.190000
-0.052587;11445.190000
-0.055076;10555.570000
-0.057566;9741.048000
-0.060056;9863.143000
-0.062546;10917.710000
