#qz(nm-1)	#refl	#err_refl	#twotheta(deg)	#m4pitch(deg)	#pos_y_beam(pix)	#bckg_refl_up	#bckg_refl_down	#bckg_refl_left	#bckg_refl_right	#bckg_refl
7.4499114e-01	4.6901743e-04	7.4428296e-06	8.4240215e-01	-2.1060054e-01	5.8000000e+01	5.4944571e-06	9.5175951e-06	2.2989360e-07	1.8391488e-07	7.5060261e-06
7.8647240e-01	3.7254985e-04	4.8374416e-06	8.8930820e-01	-2.2232705e-01	5.8000000e+01	6.8342344e-06	6.6300481e-06	1.6815340e-07	1.9217531e-07	6.7321413e-06
8.2950486e-01	2.9436127e-04	4.2875714e-06	9.3796846e-01	-2.3449212e-01	5.8000000e+01	5.0422579e-06	5.3656331e-06	1.1976860e-07	2.0360661e-07	5.2039455e-06
8.7307676e-01	2.3991399e-04	3.8857928e-06	9.8723888e-01	-2.4680972e-01	5.8000000e+01	3.1085736e-06	6.5268135e-06	1.4292292e-07	9.5281949e-08	4.8176935e-06
9.1550188e-01	1.9414656e-04	2.5173396e-06	1.0352127e+00	-2.5880318e-01	5.8000000e+01	2.7792318e-06	5.2141341e-06	1.0452863e-07	1.6601606e-07	3.9966830e-06
9.5765704e-01	1.6147652e-04	2.3886095e-06	1.0828815e+00	-2.7072037e-01	5.8000000e+01	2.6857349e-06	4.4433114e-06	9.2157570e-08	1.4481904e-07	3.5645232e-06
1.0006889e+00	1.3385439e-04	1.5355844e-06	1.1315417e+00	-2.8288543e-01	5.8000000e+01	2.2511151e-06	3.6588824e-06	7.2193196e-08	6.5630178e-08	2.9549988e-06
1.0429786e+00	1.1160229e-04	1.4446296e-06	1.1793630e+00	-2.9484075e-01	5.8000000e+01	2.4933119e-06	2.9117218e-06	6.8591798e-08	7.5450978e-08	2.7025169e-06
1.0862124e+00	9.4041138e-05	1.3236337e-06	1.2282521e+00	-3.0706302e-01	5.8000000e+01	1.6824944e-06	2.7812663e-06	8.2407891e-08	7.8974229e-08	2.2318804e-06
1.1282994e+00	7.9338943e-05	8.8418366e-07	1.2758446e+00	-3.1896114e-01	5.8000000e+01	1.9353354e-06	2.2403514e-06	7.4916211e-08	7.4916211e-08	2.0878434e-06
1.1708583e+00	6.8054753e-05	8.3465308e-07	1.3239709e+00	-3.3099273e-01	5.8000000e+01	1.8373810e-06	1.9329248e-06	6.6145714e-08	6.2470952e-08	1.8851529e-06
1.2143613e+00	5.7914319e-05	7.6194227e-07	1.3731651e+00	-3.4329127e-01	5.8000000e+01	1.2861654e-06	1.9571300e-06	6.2959145e-08	5.9361479e-08	1.6216477e-06
1.2572570e+00	4.9823912e-05	7.1637403e-07	1.4216728e+00	-3.5541820e-01	5.8000000e+01	1.0842127e-06	1.7232886e-06	4.8023048e-08	6.8340491e-08	1.4037506e-06
1.2992083e+00	4.3222507e-05	4.8941708e-07	1.4691127e+00	-3.6727818e-01	5.8000000e+01	1.2031331e-06	1.3954774e-06	5.2011463e-08	6.6731689e-08	1.2993052e-06
1.3419012e+00	3.7319503e-05	4.6355044e-07	1.5173916e+00	-3.7934791e-01	5.8000000e+01	1.2196736e-06	1.2307159e-06	4.6176943e-08	4.7180790e-08	1.2251948e-06
1.3848300e+00	3.2731364e-05	4.3161131e-07	1.5659375e+00	-3.9148438e-01	5.8000000e+01	7.8533358e-07	1.1161072e-06	4.3629643e-08	5.1746786e-08	9.5072036e-07
1.4282643e+00	2.8381516e-05	4.0630453e-07	1.6150554e+00	-4.0376385e-01	5.8000000e+01	5.9183911e-07	1.1600047e-06	3.4995704e-08	4.3229987e-08	8.7592188e-07
1.4699786e+00	2.4968094e-05	4.0551915e-07	1.6622284e+00	-4.1555709e-01	5.8000000e+01	7.0763519e-07	8.8771853e-07	4.1557695e-08	4.6175216e-08	7.9767686e-07
1.5124682e+00	2.2302523e-05	2.8210736e-07	1.7102785e+00	-4.2756962e-01	5.8000000e+01	6.2769086e-07	7.5096482e-07	4.6542208e-08	4.2139567e-08	6.8932784e-07
1.5558343e+00	1.9361965e-05	2.8670368e-07	1.7593201e+00	-4.3983002e-01	5.8000000e+01	5.1487693e-07	7.6009169e-07	3.7041506e-08	4.1486486e-08	6.3748431e-07
1.5986606e+00	1.7009018e-05	2.1895862e-07	1.8077515e+00	-4.5193788e-01	5.8000000e+01	4.1075619e-07	6.7651049e-07	3.4642088e-08	3.9096071e-08	5.4363334e-07
1.6407448e+00	1.5258951e-05	1.7868495e-07	1.8553440e+00	-4.6383600e-01	5.8000000e+01	3.8526052e-07	6.1136783e-07	4.0977377e-08	3.7684552e-08	4.9831418e-07
1.6836716e+00	1.3421920e-05	2.0187280e-07	1.9038899e+00	-4.7597247e-01	5.8000000e+01	3.5324279e-07	6.0772391e-07	3.7623492e-08	3.6578395e-08	4.8048335e-07
1.7261261e+00	1.2097183e-05	1.5846514e-07	1.9519018e+00	-4.8797546e-01	5.8000000e+01	3.6569649e-07	5.0741724e-07	3.0979158e-08	3.8456886e-08	4.3655687e-07
1.7693896e+00	1.0738611e-05	1.7078706e-07	2.0008290e+00	-5.0020726e-01	5.8000000e+01	2.8276496e-07	5.4846254e-07	3.3212198e-08	3.3212198e-08	4.1561375e-07
1.7694907e+00	1.0699833e-05	1.6974702e-07	2.0009434e+00	-5.0023586e-01	5.8000000e+01	2.7735059e-07	5.3763627e-07	3.4955532e-08	3.5781253e-08	4.0749343e-07
1.8384823e+00	8.9437627e-06	1.3840476e-07	2.0789677e+00	-5.1974191e-01	5.8000000e+01	2.5616717e-07	4.5463708e-07	3.4777423e-08	3.7669517e-08	3.5540213e-07
1.9090579e+00	7.4788787e-06	1.0866058e-07	2.1587842e+00	-5.3969605e-01	5.9000000e+01	2.8054244e-07	3.2056692e-07	3.4405148e-08	3.6896738e-08	3.0055468e-07
1.9790930e+00	6.2853975e-06	8.4730105e-08	2.2379906e+00	-5.5949765e-01	5.9000000e+01	2.2444784e-07	2.9695002e-07	3.3142765e-08	3.5965048e-08	2.6069893e-07
2.0482168e+00	5.2250072e-06	6.3317878e-08	2.3161674e+00	-5.7904184e-01	5.8000000e+01	1.6345220e-07	3.4746349e-07	3.3725862e-08	3.2257356e-08	2.5545785e-07
2.1182837e+00	4.4796243e-06	6.2815394e-08	2.3954119e+00	-5.9885297e-01	5.9000000e+01	1.8712100e-07	2.2556381e-07	3.3320946e-08	3.4615802e-08	2.0634241e-07
2.1873381e+00	3.7150366e-06	5.2648185e-08	2.4735124e+00	-6.1837809e-01	5.8000000e+01	1.3669297e-07	2.8072846e-07	3.4390233e-08	3.3592643e-08	2.0871071e-07
2.2580099e+00	3.2131681e-06	5.6998573e-08	2.5534433e+00	-6.3836083e-01	5.9000000e+01	1.4923881e-07	1.8073224e-07	3.2945477e-08	3.4365262e-08	1.6498553e-07
2.3272307e+00	2.7374649e-06	4.9576777e-08	2.6317345e+00	-6.5793362e-01	5.9000000e+01	1.4521542e-07	1.6413828e-07	3.3192096e-08	3.1902538e-08	1.5467685e-07
2.3971248e+00	2.3400961e-06	6.5474669e-08	2.7107883e+00	-6.7769709e-01	5.9000000e+01	1.2866796e-07	1.6294586e-07	2.9189342e-08	3.4948924e-08	1.4580691e-07
2.4675573e+00	2.0075261e-06	6.2009825e-08	2.7904524e+00	-6.9761309e-01	5.9000000e+01	1.0979684e-07	1.4275923e-07	3.2670685e-08	3.1037151e-08	1.2627803e-07
2.5362016e+00	1.7322833e-06	5.7036151e-08	2.8680952e+00	-7.1702380e-01	5.9000000e+01	1.1474335e-07	1.2279944e-07	3.3902715e-08	3.2336253e-08	1.1877139e-07
2.6072385e+00	1.4985548e-06	9.1074963e-08	2.9484457e+00	-7.3711141e-01	5.9000000e+01	9.3564551e-08	1.3762320e-07	3.0760948e-08	3.0120095e-08	1.1559388e-07
2.6766895e+00	1.3165224e-06	5.7148136e-08	3.0270038e+00	-7.5675094e-01	5.9000000e+01	8.9595770e-08	1.1715272e-07	2.9627287e-08	3.2625711e-08	1.0337424e-07
2.7458022e+00	1.1236764e-06	9.1482777e-08	3.1051805e+00	-7.7629513e-01	5.9000000e+01	8.7486675e-08	1.1313289e-07	3.1230468e-08	2.6266685e-08	1.0030978e-07
2.8168689e+00	1.0007134e-06	6.8096618e-08	3.1855691e+00	-7.9639227e-01	6.0000000e+01	9.2828129e-08	7.5831429e-08	3.1378522e-08	2.8632902e-08	8.4329779e-08
2.8854059e+00	8.7406516e-07	7.3136813e-08	3.2630975e+00	-8.1577439e-01	5.9000000e+01	7.3496450e-08	1.0144812e-07	3.1733367e-08	3.1404523e-08	8.7472285e-08
2.9560316e+00	7.6690369e-07	9.8393101e-08	3.3429904e+00	-8.3574759e-01	6.0000000e+01	8.3680334e-08	8.0027621e-08	3.4202676e-08	3.3870611e-08	8.1853977e-08
3.0255771e+00	6.6169401e-07	6.2718497e-08	3.4216629e+00	-8.5541572e-01	6.0000000e+01	7.9949578e-08	7.0128516e-08	3.2071904e-08	3.0690817e-08	7.5039047e-08
3.0953572e+00	5.5025961e-07	1.4916437e-07	3.5006023e+00	-8.7515058e-01	6.0000000e+01	6.8009615e-08	6.1826922e-08	2.9883013e-08	2.4730769e-08	6.4918269e-08
3.0954415e+00	6.1155144e-07	1.5674047e-07	3.5006977e+00	-8.7517442e-01	6.0000000e+01	8.2483519e-08	5.7634927e-08	3.0025381e-08	2.9680262e-08	7.0059223e-08
3.2431884e+00	4.3746434e-07	1.6877824e-07	3.6678434e+00	-9.1696084e-01	6.0000000e+01	6.8848495e-08	6.7340864e-08	2.2614469e-08	2.9650082e-08	6.8094679e-08
3.3910463e+00	3.4527830e-07	1.0212760e-07	3.8351225e+00	-9.5878064e-01	6.0000000e+01	6.5828760e-08	6.6689266e-08	2.7751340e-08	3.1623620e-08	6.6259013e-08
3.5384925e+00	2.8330440e-07	7.7361767e-08	4.0019441e+00	-1.0004860e+00	6.0000000e+01	5.0321308e-08	5.5642292e-08	2.9037371e-08	2.9645484e-08	5.2981800e-08
3.6856280e+00	2.2221272e-07	7.0021653e-08	4.1684224e+00	-1.0421056e+00	6.0000000e+01	4.9268883e-08	5.6450936e-08	2.8728212e-08	2.8584571e-08	5.2859910e-08
3.8329072e+00	1.6383991e-07	6.6094376e-08	4.3350724e+00	-1.0837681e+00	6.0000000e+01	4.2480017e-08	4.8154829e-08	2.9995432e-08	3.0481844e-08	4.5317423e-08
3.9804649e+00	1.2892003e-07	6.9471950e-08	4.5020465e+00	-1.1255116e+00	6.1000000e+01	4.7123202e-08	4.0744078e-08	3.3336064e-08	3.0866726e-08	4.3933640e-08
4.1277782e+00	9.7922268e-08	7.6232906e-08	4.6687536e+00	-1.1671884e+00	6.1000000e+01	3.9736573e-08	4.7116222e-08	2.8383266e-08	2.3841944e-08	4.3426397e-08
4.2753523e+00	6.9535639e-08	8.1874477e-08	4.8357659e+00	-1.2089415e+00	6.1000000e+01	3.7520697e-08	3.8744198e-08	2.8548356e-08	2.7732689e-08	3.8132447e-08
4.4223446e+00	5.9404976e-08	9.5341585e-08	5.0021298e+00	-1.2505325e+00	6.1000000e+01	3.2937413e-08	4.3524438e-08	2.3526723e-08	3.2937413e-08	3.8230925e-08
