#twotheta(deg)	#qz(nm-1)	#bckg_refl_up	#bckg_refl_down	#bckg_refl_left	#bckg_refl_right	#bckg_refl	#err_refl	#refl
1.9322621e+00	1.3670078e+00	5.2592678e-07	1.4024714e-06	0.0000000e+00	0.0000000e+00	9.6419910e-07	4.2620499e-06	2.9101282e-05
1.9782539e+00	1.3995422e+00	8.7410047e-07	1.5733808e-06	8.7410047e-08	0.0000000e+00	1.2237407e-06	4.6229746e-06	3.3565458e-05
2.0243218e+00	1.4321302e+00	1.2250769e-06	1.7501098e-06	0.0000000e+00	8.7505490e-08	1.4875933e-06	4.7120589e-06	3.3427097e-05
2.0703136e+00	1.4646641e+00	7.8550585e-07	8.7278428e-07	8.7278428e-08	0.0000000e+00	8.2914507e-07	4.3502273e-06	3.1376595e-05
2.1163053e+00	1.4971977e+00	1.0473560e-06	1.9201527e-06	8.7279667e-08	0.0000000e+00	1.4837543e-06	4.4312200e-06	2.8802290e-05
2.1622207e+00	1.5296772e+00	8.7370138e-07	1.3105521e-06	0.0000000e+00	0.0000000e+00	1.0921267e-06	4.1983731e-06	2.7128428e-05
2.2082887e+00	1.5622643e+00	4.3626212e-07	9.5977667e-07	0.0000000e+00	0.0000000e+00	6.9801940e-07	3.5955066e-06	2.0678825e-05
2.2542041e+00	1.5947432e+00	5.2493108e-07	7.8739662e-07	0.0000000e+00	0.0000000e+00	6.5616385e-07	3.2437750e-06	1.6141631e-05
2.2981365e+00	1.6258192e+00	3.4991990e-07	4.3739987e-07	0.0000000e+00	0.0000000e+00	3.9365988e-07	2.5925449e-06	1.0453857e-05
2.3462638e+00	1.6598622e+00	8.7557470e-08	1.7511494e-07	0.0000000e+00	8.7557470e-08	1.3133621e-07	2.0624886e-06	7.4861637e-06
2.3922556e+00	1.6923943e+00	4.3767079e-07	8.7534157e-08	0.0000000e+00	0.0000000e+00	2.6260247e-07	1.5851920e-06	3.4138321e-06
2.4382473e+00	1.7249262e+00	8.7603896e-08	8.7603896e-08	0.0000000e+00	0.0000000e+00	8.7603896e-08	1.0497454e-06	1.5768701e-06
2.4821797e+00	1.7560011e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	7.0145571e-07	1.1310633e-06
2.5302307e+00	1.7899890e+00	0.0000000e+00	2.6185668e-07	0.0000000e+00	0.0000000e+00	1.3092834e-07	7.5455711e-07	6.5464171e-07
2.5762224e+00	1.8225200e+00	8.7010029e-08	8.7010029e-08	8.7010029e-08	8.7010029e-08	8.7010029e-08	1.1071292e-06	1.8272106e-06
2.6222141e+00	1.8550507e+00	8.7292311e-08	0.0000000e+00	8.7292311e-08	1.7458462e-07	4.3646156e-08	1.0337015e-06	1.9640770e-06
2.6682058e+00	1.8875811e+00	2.6227095e-07	0.0000000e+00	8.7423650e-08	0.0000000e+00	1.3113548e-07	1.5515845e-06	4.2400470e-06
2.7142738e+00	1.9201652e+00	3.4971149e-07	2.6228361e-07	0.0000000e+00	0.0000000e+00	3.0599755e-07	1.9409264e-06	5.3768141e-06
2.7602655e+00	1.9526949e+00	1.7456920e-07	1.7456920e-07	0.0000000e+00	0.0000000e+00	1.7456920e-07	2.3599094e-06	9.7758752e-06
2.8063335e+00	1.9852784e+00	6.1117750e-07	5.2386643e-07	0.0000000e+00	0.0000000e+00	5.6752196e-07	2.3801444e-06	7.5524076e-06
2.8523252e+00	2.0178075e+00	3.4961706e-07	4.3702132e-07	0.0000000e+00	0.0000000e+00	3.9331919e-07	2.5189260e-06	9.7455754e-06
2.8964102e+00	2.0489877e+00	0.0000000e+00	6.1092792e-07	8.7275417e-08	0.0000000e+00	3.0546396e-07	2.3870404e-06	1.0080311e-05
2.9442324e+00	2.0828109e+00	2.6254726e-07	3.5006301e-07	0.0000000e+00	0.0000000e+00	3.0630513e-07	2.3799286e-06	8.9703646e-06
2.9902241e+00	2.1153391e+00	2.6274845e-07	8.7582817e-08	0.0000000e+00	8.7582817e-08	1.7516563e-07	2.2550944e-06	8.8458645e-06
3.0362158e+00	2.1478669e+00	5.2337078e-07	2.6168539e-07	8.7228464e-08	0.0000000e+00	3.9252809e-07	2.4903532e-06	9.5515168e-06
3.0822075e+00	2.1803943e+00	4.3762611e-07	2.6257567e-07	0.0000000e+00	0.0000000e+00	3.5010089e-07	2.2242495e-06	7.3521187e-06
3.1281992e+00	2.2129215e+00	1.7469051e-07	2.6203577e-07	0.0000000e+00	0.0000000e+00	2.1836314e-07	1.9873679e-06	6.2451859e-06
3.1741910e+00	2.2454482e+00	2.6278465e-07	1.7518976e-07	0.0000000e+00	0.0000000e+00	2.1898721e-07	1.8379053e-06	5.1243006e-06
3.2202589e+00	2.2780286e+00	1.7483162e-07	0.0000000e+00	8.7415809e-08	8.7415809e-08	8.7415809e-08	1.4199839e-06	3.6714640e-06
3.2662507e+00	2.3105546e+00	0.0000000e+00	1.7506793e-07	0.0000000e+00	8.7533964e-08	8.7533964e-08	1.3449758e-06	3.2387567e-06
3.3122424e+00	2.3430803e+00	8.7825932e-08	8.7825932e-08	8.7825932e-08	0.0000000e+00	8.7825932e-08	1.0060998e-06	1.4052149e-06
3.3581578e+00	2.3755516e+00	0.0000000e+00	2.6311404e-07	0.0000000e+00	0.0000000e+00	1.3155702e-07	7.5818026e-07	6.5778510e-07
3.4042258e+00	2.4081305e+00	0.0000000e+00	8.7593054e-08	8.7593054e-08	0.0000000e+00	4.3796527e-08	5.7769893e-07	4.8176180e-07
3.4502175e+00	2.4406550e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	1.7523921e-07	0.0000000e+00	1.9592339e-07	8.7619605e-08
3.4962092e+00	2.4731791e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.7686302e-07	1.7510355e-07
3.4997940e+00	2.4757142e+00	2.1413303e-08	2.3707586e-08	1.2761946e-08	1.2570756e-08	2.2560444e-08	5.4975235e-09	1.0188048e-07
3.5466247e+00	2.5088311e+00	2.6625104e-08	3.2504615e-08	1.2834543e-08	1.2547738e-08	2.9564860e-08	8.6428745e-09	3.5346379e-07
3.5931503e+00	2.5417320e+00	3.9698460e-08	4.4621929e-08	1.2906182e-08	1.2691079e-08	4.2160195e-08	1.2105968e-08	7.7176579e-07
3.6395996e+00	2.5745785e+00	5.2407760e-08	5.7452485e-08	1.1571786e-08	1.2169503e-08	5.4930123e-08	1.5248084e-08	1.2913659e-06
3.6860490e+00	2.6074245e+00	7.0195480e-08	6.8234980e-08	1.2982338e-08	1.2528076e-08	6.9215230e-08	1.8032055e-08	1.8522187e-06
3.7324221e+00	2.6402162e+00	8.3925596e-08	8.1509266e-08	1.2966840e-08	1.1794561e-08	8.2717431e-08	2.0256134e-08	2.3648094e-06
3.7788714e+00	2.6730614e+00	1.0079360e-07	9.1874028e-08	1.2243494e-08	1.2004363e-08	9.6333817e-08	2.1959632e-08	2.7867937e-06
3.8253207e+00	2.7059061e+00	1.1630411e-07	9.6334143e-08	1.2651629e-08	1.1814565e-08	1.0631912e-07	2.3124578e-08	3.0940886e-06
3.8717701e+00	2.7387505e+00	1.2024271e-07	9.7155920e-08	1.2297006e-08	1.2464475e-08	1.0869932e-07	2.3666457e-08	3.2571875e-06
3.9181432e+00	2.7715404e+00	1.2353658e-07	9.8269368e-08	1.2107207e-08	1.2370407e-08	1.1090298e-07	2.3668254e-08	3.2431523e-06
3.9645925e+00	2.8043838e+00	1.2290264e-07	9.1195865e-08	1.1845173e-08	1.2108399e-08	1.0704925e-07	2.3238216e-08	3.1264197e-06
4.0110418e+00	2.8372267e+00	1.1861856e-07	8.6024202e-08	1.2668932e-08	1.1710979e-08	1.0232138e-07	2.2317640e-08	2.8582571e-06
4.0573386e+00	2.8699614e+00	1.1050075e-07	7.5846529e-08	1.2213997e-08	1.2645080e-08	9.3173641e-08	2.0916334e-08	2.4909250e-06
4.1038643e+00	2.9028573e+00	9.9938478e-08	6.8677761e-08	1.3079197e-08	1.2504287e-08	8.4308119e-08	1.9246239e-08	2.0751248e-06
4.1503136e+00	2.9356988e+00	8.8921635e-08	6.0183159e-08	1.2405442e-08	1.2237801e-08	7.4552397e-08	1.7316370e-08	1.6433619e-06
