#twotheta(deg)	#qz(nm-1)	#bckg_refl_up	#bckg_refl_down	#bckg_refl_left	#bckg_refl_right	#bckg_refl	#err_refl	#refl
5.9609227e+00	4.2154423e+00	1.1087519e-07	5.5521358e-08	1.3282049e-08	1.2994870e-08	8.3198276e-08	1.5486796e-08	1.1969998e-06
6.0073720e+00	4.2482603e+00	1.0608504e-07	5.1414126e-08	1.2236897e-08	1.2596102e-08	7.8749583e-08	1.4929411e-08	1.1053079e-06
6.0538977e+00	4.2811315e+00	9.8364754e-08	4.5806177e-08	1.2523069e-08	1.3385077e-08	7.2085465e-08	1.4230698e-08	1.0027674e-06
6.1002707e+00	4.3138943e+00	9.3487472e-08	4.2013073e-08	1.3150044e-08	1.3916531e-08	6.7750273e-08	1.3565221e-08	9.0087383e-07
6.1466438e+00	4.3466563e+00	8.2556329e-08	3.8642878e-08	1.3583702e-08	1.2984774e-08	6.0599604e-08	1.2826207e-08	8.0422945e-07
6.1931694e+00	4.3795254e+00	7.9554430e-08	3.6076173e-08	1.3917833e-08	1.2049346e-08	5.7815301e-08	1.2219104e-08	7.1746310e-07
6.2396188e+00	4.4123399e+00	7.5110955e-08	3.3727180e-08	1.2951810e-08	1.2951810e-08	5.4419067e-08	1.1706702e-08	6.5642776e-07
6.2859918e+00	4.4450998e+00	6.6441141e-08	3.3351783e-08	1.3359799e-08	1.3717650e-08	4.9896462e-08	1.1119475e-08	5.8676951e-07
6.3306107e+00	4.4766198e+00	6.2919149e-08	3.0230778e-08	1.3146929e-08	1.3075348e-08	4.6574964e-08	1.0698714e-08	5.4195888e-07
6.3788905e+00	4.5107252e+00	5.8482857e-08	2.9456088e-08	1.3308905e-08	1.3165798e-08	4.3969473e-08	1.0382189e-08	5.0954263e-07
6.4233568e+00	4.5421359e+00	5.3757631e-08	2.8728002e-08	1.3003954e-08	1.3003954e-08	4.1242816e-08	1.0137995e-08	4.8800619e-07
6.4717129e+00	4.5762937e+00	5.6115982e-08	2.6279752e-08	1.2388003e-08	1.2865383e-08	4.1197867e-08	9.9315247e-09	4.6234223e-07
6.5164080e+00	4.6078646e+00	5.2137967e-08	2.7907181e-08	1.1816984e-08	1.2031838e-08	4.0022574e-08	9.8352581e-09	4.5352153e-07
6.5644591e+00	4.6418053e+00	5.0273497e-08	2.6616785e-08	1.2628053e-08	1.2055136e-08	3.8445141e-08	9.6998650e-09	4.4342609e-07
6.6109084e+00	4.6746139e+00	5.0145044e-08	2.6099301e-08	1.2655654e-08	1.2488504e-08	3.8122173e-08	9.4896947e-09	4.1850815e-07
6.6573578e+00	4.7074217e+00	5.0877334e-08	2.6656857e-08	1.1298112e-08	1.1632517e-08	3.8767095e-08	9.3131227e-09	3.9390522e-07
6.7038071e+00	4.7402287e+00	5.0684040e-08	2.4458274e-08	1.1440931e-08	1.1894746e-08	3.7571157e-08	8.9403442e-09	3.5598253e-07
6.7503327e+00	4.7730888e+00	4.5356717e-08	2.3191876e-08	1.2873760e-08	1.1894495e-08	3.4274297e-08	8.5353133e-09	3.2382642e-07
6.7966295e+00	4.8057865e+00	4.3295943e-08	2.1349461e-08	1.2059819e-08	1.2179223e-08	3.2322702e-08	8.0707241e-09	2.8295200e-07
6.8431551e+00	4.8386450e+00	4.2797810e-08	2.0622284e-08	1.1589580e-08	1.1350620e-08	3.1710047e-08	7.6263549e-09	2.4125443e-07
6.8895282e+00	4.8713950e+00	3.7617354e-08	1.8306793e-08	1.1949604e-08	1.0635148e-08	2.7962074e-08	6.9830397e-09	1.9688168e-07
6.9360538e+00	4.9042519e+00	3.5041620e-08	1.6971044e-08	1.1568993e-08	1.2118760e-08	2.6006332e-08	6.3933126e-09	1.5553603e-07
6.9808252e+00	4.9358692e+00	2.9820570e-08	1.5651020e-08	1.1111030e-08	1.1326082e-08	2.2735795e-08	5.7210825e-09	1.1752602e-07
7.0288762e+00	4.9698018e+00	2.5934822e-08	1.4795995e-08	1.1234439e-08	1.1640791e-08	2.0365408e-08	5.0829153e-09	8.4353904e-08
7.0736476e+00	5.0014175e+00	2.2206213e-08	1.4413721e-08	1.1282382e-08	1.1306285e-08	1.8309967e-08	4.4549040e-09	5.6196779e-08
7.1216224e+00	5.0352945e+00	1.9239394e-08	1.3168827e-08	1.1232938e-08	1.1949934e-08	1.6204110e-08	3.8558557e-09	3.4869907e-08
7.1680717e+00	5.0680935e+00	1.6760332e-08	1.2910955e-08	1.0472219e-08	1.0854766e-08	1.4835643e-08	3.4064124e-09	2.1267211e-08
7.2145211e+00	5.1008916e+00	1.4185544e-08	1.2439263e-08	1.1984751e-08	1.1410632e-08	1.3312404e-08	3.2001569e-09	1.8120657e-08
7.2609704e+00	5.1336889e+00	1.3319782e-08	1.2148024e-08	1.1765409e-08	1.1693669e-08	1.2733903e-08	3.1481611e-09	1.7923118e-08
7.3073435e+00	5.1664316e+00	1.4276027e-08	1.2607710e-08	1.2250213e-08	1.0915560e-08	1.3441868e-08	3.2568977e-09	1.9852972e-08
7.3537928e+00	5.1992272e+00	1.5413753e-08	1.2912294e-08	1.1935534e-08	1.0958773e-08	1.4163023e-08	3.5094594e-09	2.6908553e-08
7.4002422e+00	5.2320219e+00	1.5981248e-08	1.3337554e-08	1.1979982e-08	1.0908214e-08	1.4659401e-08	3.8274974e-09	3.8143023e-08
7.4466915e+00	5.2648159e+00	1.7101263e-08	1.3409486e-08	1.0456065e-08	1.1670778e-08	1.5255374e-08	4.0305920e-09	4.5289765e-08
7.4930646e+00	5.2975551e+00	1.8800552e-08	1.4892706e-08	1.1509083e-08	1.0174697e-08	1.6846629e-08	4.3288104e-09	5.4447734e-08
7.5395139e+00	5.3303472e+00	2.0185615e-08	1.5204749e-08	1.0676689e-08	1.1320150e-08	1.7695182e-08	4.5041576e-09	6.0664087e-08
7.5860395e+00	5.3631924e+00	2.2473585e-08	1.5085662e-08	1.0938892e-08	1.1201044e-08	1.8779623e-08	4.6127727e-09	6.3130992e-08
7.6324126e+00	5.3959289e+00	2.4706609e-08	1.4809656e-08	1.1327837e-08	1.1828647e-08	1.9758132e-08	4.6864421e-09	6.4187102e-08
7.6787857e+00	5.4286646e+00	2.5325666e-08	1.4093662e-08	1.1756642e-08	1.1804336e-08	1.9709664e-08	4.6263191e-09	6.1370624e-08
7.7252350e+00	5.4614533e+00	2.2950250e-08	1.5960205e-08	1.1236557e-08	1.1952261e-08	1.9455228e-08	4.6139693e-09	6.0942218e-08
7.7717606e+00	5.4942948e+00	2.5509649e-08	1.5988274e-08	1.1669054e-08	1.0189542e-08	2.0748961e-08	4.4942729e-09	5.1269861e-08
7.8181337e+00	5.5270278e+00	2.3078448e-08	1.4271884e-08	1.1646621e-08	1.1264765e-08	1.8675166e-08	4.2107220e-09	4.3710628e-08
7.8645068e+00	5.5597599e+00	2.3636632e-08	1.4563986e-08	1.1340808e-08	1.1937693e-08	1.9100309e-08	4.0689665e-09	3.6218961e-08
7.9110324e+00	5.5925988e+00	2.2519843e-08	1.4065947e-08	1.1295743e-08	1.0985289e-08	1.8292895e-08	3.8253553e-09	2.8251299e-08
7.9574055e+00	5.6253291e+00	2.0422213e-08	1.3328181e-08	1.1895043e-08	1.0652991e-08	1.6875197e-08	3.5825222e-09	2.2583863e-08
8.0037785e+00	5.6580584e+00	1.9306526e-08	1.3404655e-08	1.2496674e-08	1.2448886e-08	1.6355590e-08	3.3515871e-09	1.5782129e-08
8.0503041e+00	5.6908945e+00	1.9353105e-08	1.2161395e-08	1.2710928e-08	1.2018039e-08	1.5757250e-08	3.1178679e-09	1.0022997e-08
8.0967535e+00	5.7236758e+00	1.6396689e-08	1.2667996e-08	1.2476781e-08	1.1042668e-08	1.4532343e-08	2.9397581e-09	7.5529939e-09
8.1430503e+00	5.7563485e+00	1.5035562e-08	1.2908113e-08	1.1306551e-08	1.2358323e-08	1.3971838e-08	2.8021823e-09	5.1273895e-09
8.1895759e+00	5.7891818e+00	1.5353345e-08	1.3224922e-08	1.0474712e-08	1.1192158e-08	1.4289133e-08	2.7987569e-09	4.3405485e-09
8.2360252e+00	5.8219602e+00	1.6502314e-08	1.2962687e-08	1.2771356e-08	1.1695118e-08	1.4732501e-08	2.8959370e-09	5.9073501e-09
8.2823983e+00	5.8546839e+00	1.4737254e-08	1.3923835e-08	1.1172561e-08	1.1938133e-08	1.4330545e-08	2.8297939e-09	5.0001399e-09
8.3287714e+00	5.8874067e+00	1.5528536e-08	1.2609459e-08	1.1724165e-08	1.1125993e-08	1.4068998e-08	2.9157568e-09	7.8719391e-09
8.3752970e+00	5.9202361e+00	1.5956612e-08	1.3666874e-08	1.1734907e-08	1.2355045e-08	1.4811743e-08	3.0364038e-09	9.6598323e-09
8.4217463e+00	5.9530107e+00	1.6060775e-08	1.3058316e-08	1.2033667e-08	1.1676231e-08	1.4559545e-08	3.1588050e-09	1.3963819e-08
8.4681194e+00	5.9857305e+00	1.7201435e-08	1.3079762e-08	1.1459682e-08	1.1531156e-08	1.5140599e-08	3.1456658e-09	1.2233985e-08
8.5145688e+00	6.0185032e+00	1.8163795e-08	1.3753950e-08	1.0202237e-08	1.1489435e-08	1.5958873e-08	3.2850342e-09	1.4624001e-08
8.5609418e+00	6.0512211e+00	1.8522935e-08	1.3469058e-08	1.2539336e-08	1.1418901e-08	1.5995996e-08	3.3219482e-09	1.5757606e-08
8.6073912e+00	6.0839917e+00	1.9506043e-08	1.2757620e-08	1.0802246e-08	1.1875317e-08	1.6131831e-08	3.2568136e-09	1.3437231e-08
8.6538405e+00	6.1167614e+00	1.7792423e-08	1.2187571e-08	1.0470340e-08	1.1519759e-08	1.4989997e-08	3.3057963e-09	1.7708947e-08
8.7002136e+00	6.1494763e+00	1.9816734e-08	1.2352669e-08	1.1374948e-08	1.0778777e-08	1.6084702e-08	3.3526596e-09	1.6704720e-08
