#twotheta(deg)	#qz(nm-1)	#m4pitch(deg)	#pos_y_beam(pix)	#bckg_refl_up	#bckg_refl_down	#bckg_refl_left	#bckg_refl_right	#bckg_refl	#err_refl	#refl
3.3001763e+00	2.9186547e+00	-8.5604408e-01	1.2900000e+02	8.6674607e-08	1.0327187e-07	3.8035399e-08	1.4983642e-08	9.4973239e-08	1.4276246e-07	8.2663601e-07
3.4777953e+00	3.0756927e+00	-9.0044882e-01	1.2900000e+02	6.9931228e-08	7.2586845e-08	3.6293422e-08	1.1507671e-08	7.1259037e-08	2.4329981e-07	6.2716804e-07
3.4779062e+00	3.0757908e+00	-9.0047655e-01	1.2900000e+02	7.3880752e-08	7.4336806e-08	3.2379836e-08	1.4593729e-08	7.4108779e-08	2.4348945e-07	5.9081799e-07
3.7000877e+00	3.2722174e+00	-9.5602192e-01	1.3000000e+02	6.8383917e-08	5.7317640e-08	2.8658820e-08	1.2768781e-08	6.2850778e-08	1.6730078e-07	4.2293040e-07
3.9230665e+00	3.4693366e+00	-1.0117666e+00	1.3000000e+02	7.3645621e-08	5.1750977e-08	2.4880277e-08	1.0947322e-08	6.2698299e-08	2.8904368e-07	3.2742445e-07
4.1445754e+00	3.6651433e+00	-1.0671438e+00	1.3000000e+02	5.8732266e-08	6.3105945e-08	2.8116510e-08	1.1871415e-08	6.0919106e-08	1.9921382e-07	2.0275128e-07
4.3675611e+00	3.8622416e+00	-1.1228903e+00	1.3000000e+02	5.9806862e-08	4.4644559e-08	3.7905757e-08	9.2658518e-09	5.2225710e-08	1.9972160e-07	1.3140663e-07
4.5895623e+00	4.0584552e+00	-1.1783906e+00	1.3000000e+02	5.3905834e-08	4.5483047e-08	3.7060261e-08	1.0107344e-08	4.9694440e-08	2.5958872e-07	9.5177487e-08
4.8122221e+00	4.2552356e+00	-1.2340555e+00	1.3000000e+02	4.5751002e-08	5.4069366e-08	4.2423656e-08	1.8300401e-08	4.9910184e-08	1.6955126e-07	6.4051403e-08
5.0338350e+00	4.4510748e+00	-1.2894588e+00	1.3100000e+02	1.1038523e-08	8.0949171e-08	2.5756554e-08	2.2077047e-08	4.5993847e-08	3.3862089e-07	6.8070893e-08
5.2558986e+00	4.6472956e+00	-1.3449746e+00	1.3100000e+02	4.0127332e-08	3.2831454e-08	3.7695373e-08	1.3375777e-08	3.6479393e-08	1.6928691e-07	3.7695373e-08
5.4789537e+00	4.8443749e+00	-1.4007384e+00	1.2900000e+02	2.8671713e-08	3.3884752e-08	4.6917349e-08	7.8195582e-09	3.1278233e-08	2.0722849e-07	1.3032597e-08
