q_z(A^-1);Intensity
1.712383;6581.987000
1.710305;6515.184000
1.708225;6466.882000
1.706145;6440.079000
1.704064;6400.618000
1.701982;6367.934000
1.699899;6307.237000
1.697814;6279.539000
1.695729;6257.105000
1.693643;6224.803000
1.691556;6217.645000
1.689468;6195.882000
1.687379;6181.145000
1.685290;6161.566000
1.683199;6147.908000
1.681107;6147.855000
1.679014;6116.013000
1.676920;6109.697000
1.674826;6090.934000
1.672730;6075.118000
1.670633;6077.053000
1.668536;6068.961000
1.666437;6036.171000
1.664338;6016.132000
1.662237;6018.882000
1.660136;6002.776000
1.658033;5983.487000
1.655930;5990.158000
1.653826;5985.382000
1.651720;5968.947000
1.649614;5970.316000
1.647507;5973.250000
1.645399;5942.224000
1.643290;5934.724000
1.641180;5947.882000
1.639069;5909.276000
1.636957;5927.750000
1.634844;5891.092000
1.632730;5905.921000
1.630615;5903.487000
1.628500;5868.618000
1.626383;5856.395000
1.624265;5859.211000
1.622147;5875.053000
1.620027;5844.079000
1.617907;5839.789000
1.615785;5829.658000
1.613663;5817.566000
1.611540;5832.697000
1.609416;5821.882000
1.607290;5866.092000
1.605164;5761.816000
1.603037;5768.737000
1.600909;5774.618000
1.598780;5874.987000
1.596651;5810.434000
1.594520;5817.724000
1.592388;5819.237000
1.590255;5809.092000
1.588122;5806.158000
1.585987;5819.803000
1.583852;5822.211000
1.581715;5811.974000
1.579578;5806.605000
1.577440;5808.947000
1.575301;5815.592000
1.573160;5814.737000
1.571019;5796.132000
1.568877;5804.605000
1.566735;5813.421000
1.564591;5811.513000
1.562446;5822.882000
1.560300;5824.263000
1.558154;5824.237000
1.556006;5811.579000
1.553858;5820.368000
1.551708;5794.434000
1.549558;5798.961000
1.547407;5813.947000
1.545255;5800.921000
1.543102;5798.026000
1.540948;5792.908000
1.538793;5807.487000
1.536637;5810.803000
1.534480;5801.053000
1.532323;5816.276000
1.530164;5793.132000
1.528005;5809.921000
1.525844;5799.118000
1.523683;5791.474000
1.521521;5769.158000
1.519358;5772.724000
1.517193;5771.961000
1.515029;5776.526000
1.512863;5732.289000
1.510696;5739.447000
1.508528;5742.632000
1.506360;5761.842000
1.504190;5739.461000
1.502020;5717.237000
1.499849;5719.803000
1.497676;5695.487000
1.495503;5706.763000
1.493329;5679.605000
1.491154;5665.750000
1.488979;5674.039000
1.486802;5651.395000
1.484624;5623.882000
1.482446;5642.934000
1.480267;5614.053000
1.478086;5595.342000
1.475905;5585.092000
1.473723;5553.539000
1.471540;5553.132000
1.469356;5544.816000
1.467172;5544.329000
1.464986;5516.447000
1.462799;5501.632000
1.460612;5483.447000
1.458424;5474.329000
1.456235;5450.118000
1.454044;5460.447000
1.451854;5435.855000
1.449662;5419.013000
1.447469;5398.961000
1.445275;5387.855000
1.443081;5385.039000
1.440886;5369.658000
1.438689;5351.342000
1.436492;5338.276000
1.434294;5318.553000
1.432095;5328.289000
1.429896;5320.066000
1.427695;5321.474000
1.425493;5300.961000
1.423291;5303.579000
1.421088;5292.355000
1.418884;5292.803000
1.416679;5268.329000
1.414473;5234.487000
1.412266;5250.289000
1.410058;5242.724000
1.407850;5238.697000
1.405641;5208.303000
1.403430;5205.842000
1.401219;5169.487000
1.399007;5176.118000
1.396795;5166.553000
1.394581;5134.592000
1.392367;4854.118000
1.390151;nan
1.387935;nan
1.385718;nan
1.383500;nan
1.381281;nan
1.379061;nan
1.376841;nan
1.374619;nan
1.372397;nan
1.370174;nan
1.367950;nan
1.365725;nan
1.363500;nan
1.361273;nan
1.359046;nan
1.356818;nan
1.354589;nan
1.352359;4383.342000
1.350128;4642.487000
1.347897;4615.118000
1.345664;4585.947000
1.343431;4564.132000
1.341197;4538.513000
1.338962;4516.895000
1.336726;4489.039000
1.334490;4443.355000
1.332252;4421.158000
1.330014;4394.684000
1.327775;4371.711000
1.325535;4340.013000
1.323294;4308.921000
1.321053;4279.697000
1.318810;4248.868000
1.316567;4240.961000
